Event,Date,White,Black,Result,Opening,ECO,WhiteElo,BlackElo,TimeControl,Termination,EndgameStartMove,PawnCount,RookCount,QueenCount,Winner,WhiteElo_normalized,BlackElo_normalized,WhiteElo_scaled,BlackElo_scaled,Result_encoded,BaseTime,TimeControlValidation,UniqueID
Bullet,2024.08.01,AtajanProf,Osmanturan4331,1/2-1/2,Hungarian Opening,A00,2020,1959,60+0,Time forfeit,96.0,2.0,0.0,1.0,Draw,0.5873821609862219,0.5652646845540247,0.914531617148,0.7579054508216403,0.5,60.0,Correct,1623
Blitz,2024.08.01,gadwin,luiscruces,1-0,Queen's Gambit Accepted,D20,1886,1861,180+2,Normal,117.0,4.0,0.0,0.0,White,0.5387962291515591,0.5297316896301668,0.5724520809054485,0.5079125890461897,1.0,180.0,Correct,1624
Blitz,2024.08.01,rigard,dirk41211,0-1,Panov Transfer,B01,2025,2053,300+0,Normal,106.0,3.0,1.0,0.0,Black,0.5891950688905003,0.5993473531544597,0.9272957789480952,0.997694522320542,0.0,300.0,Correct,1625
Classic,2024.08.01,AlejandroDov,zuprichess123,1-0,"Smith-Morra Gambit Accepted, Scheveningen Formation",B21,1847,1850,1800+0,Normal,104.0,2.0,1.0,0.0,White,0.5246555474981871,0.5257432922407541,0.4728916188647059,0.47985216578568,1.0,1800.0,Correct,1626
Bullet,2024.08.01,pappaguf,BesnikBerisha63,1-0,Horwitz Defense,A40,2178,2116,120+1,Time forfeit,100.0,1.0,2.0,0.0,White,0.6446700507614214,0.6221899927483684,1.3178791300310084,1.1584042191761887,1.0,120.0,Correct,1627
Blitz,2024.08.01,Albrechten,Vioola,0-1,"Morphy Defense, Caro Variation",C70,1745,1757,300+3,Normal,128.0,4.0,0.0,0.0,Black,0.4876722262509064,0.4920232052211747,0.2125027181427637,0.2426140418559156,0.0,300.0,Correct,1628
Blitz,2024.08.01,SourShizz,ariale2019,0-1,Nimzowitsch Defense,B00,947,941,300+0,Time forfeit,95.0,3.0,1.0,0.0,Black,0.1983321247280638,0.1961566352429296,-1.824657505152431,-1.838959174560081,0.0,300.0,Correct,1629
Bullet,2024.08.01,balsss,MiRzAi,1-0,Polish Opening,A00,2116,2119,60+0,Time forfeit,98.0,4.0,0.0,0.0,White,0.6221899927483684,0.6232777374909355,1.159603523709828,1.1660570618836004,1.0,60.0,Correct,1630
Blitz,2024.08.01,Rodion8848,Vl-1,1-0,Main Line,B01,2021,1858,180+0,Normal,93.0,2.0,1.0,0.0,White,0.5877447425670775,0.5286439448875997,0.917084449508019,0.500259746338778,1.0,180.0,Correct,1631
Bullet,2024.08.01,Penquista,Ball45,1-0,Paulsen Countergambit,C40,2171,2206,60+0,Normal,104.0,2.0,0.0,0.0,White,0.6421319796954315,0.6548223350253807,1.300009303510875,1.3879895003985412,1.0,60.0,Correct,1632
